id,task_id,instruction,exe_status,robot_id,box_code,lattice_code,create_time,execute_time,update_time,robot_type
75724,44010,GO_SOMEWHERE,COMPLETED,1510111,,,2021-12-16 16:24:24.153,2021-12-16 16:24:24.153,2021-12-16 16:25:35.736,P40
75728,44019,GO_SOMEWHERE,COMPLETED,1510107,,,2021-12-16 16:24:24.200,2021-12-16 16:24:24.200,2021-12-16 16:25:35.944,P40
75769,44046,GO_SOMEWHERE,COMPLETED,1510110,,,2021-12-16 16:25:14.090,2021-12-16 16:25:14.090,2021-12-16 16:25:36.365,P40
75774,44058,GO_SOMEWHERE,COMPLETED,1510132,,,2021-12-16 16:25:32.053,2021-12-16 16:25:32.053,2021-12-16 16:25:36.679,P40
75735,44024,GO_SOMEWHERE,COMPLETED,1510134,,,2021-12-16 16:24:24.315,2021-12-16 16:24:24.315,2021-12-16 16:25:37.934,P40
75736,44025,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-16 16:24:24.326,2021-12-16 16:24:24.326,2021-12-16 16:25:38.741,P40
75765,44052,GO_FETCHING_BOX,COMPLETED,5211166,B003931,00701311,2021-12-16 16:25:07.944,2021-12-16 16:25:07.944,2021-12-16 16:25:46.569,RS5-D
75777,44059,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-16 16:25:43.904,2021-12-16 16:25:43.904,2021-12-16 16:25:47.075,P40
75771,44053,GO_SOMEWHERE,COMPLETED,1510118,,,2021-12-16 16:25:14.100,2021-12-16 16:25:14.100,2021-12-16 16:25:47.600,P40
75729,44020,GO_SOMEWHERE,COMPLETED,1510106,,,2021-12-16 16:24:24.212,2021-12-16 16:24:24.212,2021-12-16 16:25:48.416,P40
75778,44052,GO_RETURN_BOX,COMPLETED,5211166,B003931,1025116501,2021-12-16 16:25:47.176,2021-12-16 16:25:47.176,2021-12-16 16:25:53.405,RS5-D
75781,44061,GO_SOMEWHERE,COMPLETED,1510140,,,2021-12-16 16:25:52.883,2021-12-16 16:25:52.883,2021-12-16 16:25:54.922,P40
75780,44060,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-16 16:25:52.877,2021-12-16 16:25:52.877,2021-12-16 16:25:55.126,P40
75779,44062,GO_SOMEWHERE,COMPLETED,1510102,,,2021-12-16 16:25:52.868,2021-12-16 16:25:52.868,2021-12-16 16:25:55.530,P40
75754,44018,GO_SOMEWHERE,COMPLETED,1510108,,,2021-12-16 16:24:38.667,2021-12-16 16:24:38.667,2021-12-16 16:25:56.757,P40
75732,44011,GO_SOMEWHERE,COMPLETED,5211165,,,2021-12-16 16:24:24.265,2021-12-16 16:24:24.265,2021-12-16 16:26:00.674,RS5-D
75783,44064,GO_SOMEWHERE,COMPLETED,1510112,,,2021-12-16 16:25:58.920,2021-12-16 16:25:58.920,2021-12-16 16:26:00.978,P40
75747,44035,GO_SOMEWHERE,COMPLETED,1510117,,,2021-12-16 16:24:24.426,2021-12-16 16:24:24.426,2021-12-16 16:26:05.626,P40
75766,44051,GO_FETCHING_BOX,COMPLETED,5211169,B003930,00601113,2021-12-16 16:25:07.963,2021-12-16 16:25:07.963,2021-12-16 16:26:06.331,RS5-D
75784,44065,GO_SOMEWHERE,COMPLETED,5211166,,,2021-12-16 16:25:59.028,2021-12-16 16:25:59.028,2021-12-16 16:26:11.212,RS5-D
75786,44066,GO_SOMEWHERE,COMPLETED,1510119,,,2021-12-16 16:26:08.460,2021-12-16 16:26:08.460,2021-12-16 16:26:11.214,P40
75785,44051,GO_RETURN_BOX,COMPLETED,5211169,B003930,1075108001,2021-12-16 16:26:06.432,2021-12-16 16:26:06.432,2021-12-16 16:26:12.953,RS5-D
75789,44069,GO_SOMEWHERE,COMPLETED,1510106,,,2021-12-16 16:26:11.100,2021-12-16 16:26:11.100,2021-12-16 16:26:13.456,P40
75782,44063,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-16 16:25:55.934,2021-12-16 16:25:55.934,2021-12-16 16:26:13.864,P40
75744,44032,GO_SOMEWHERE,COMPLETED,1510136,,,2021-12-16 16:24:24.398,2021-12-16 16:24:24.398,2021-12-16 16:26:16.083,P40
75787,44067,GO_FETCHING_BOX,COMPLETED,5211165,B003932,00102613,2021-12-16 16:26:08.567,2021-12-16 16:26:08.567,2021-12-16 16:26:17.803,RS5-D
75733,44012,GO_SOMEWHERE,COMPLETED,5211164,,,2021-12-16 16:24:24.278,2021-12-16 16:24:24.278,2021-12-16 16:26:18.835,RS5-D
75788,44068,GO_FETCHING_BOX,COMPLETED,5211168,B003933,00403719,2021-12-16 16:26:08.577,2021-12-16 16:26:08.577,2021-12-16 16:26:19.239,RS5-D
75793,44068,GO_RETURN_BOX,COMPLETED,5211168,B003933,1060124001,2021-12-16 16:26:19.843,2021-12-16 16:26:19.843,2021-12-16 16:26:23.289,RS5-D
75792,44067,GO_RETURN_BOX,COMPLETED,5211165,B003932,1010117001,2021-12-16 16:26:18.419,2021-12-16 16:26:18.419,2021-12-16 16:26:23.694,RS5-D
75767,44023,GO_SOMEWHERE,COMPLETED,1510135,,,2021-12-16 16:25:08.221,2021-12-16 16:25:08.221,2021-12-16 16:26:24.197,P40
75730,44021,GO_SOMEWHERE,COMPLETED,1510105,,,2021-12-16 16:24:24.227,2021-12-16 16:24:24.227,2021-12-16 16:26:25.808,P40
75794,44072,GO_SOMEWHERE,EXECUTING,5211168,,,2021-12-16 16:26:28.722,2021-12-16 16:26:28.722,2021-12-16 16:26:32.440,RS5-D
75791,44071,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-16 16:26:18.205,2021-12-16 16:26:18.205,2021-12-16 16:26:38.746,RS5-D
75790,44070,GO_SOMEWHERE,COMPLETED,5211166,,,2021-12-16 16:26:12.537,2021-12-16 16:26:12.537,2021-12-16 16:26:47.017,RS5-D
75795,44073,GO_SOMEWHERE,CANCELED,5211165,,,2021-12-16 16:26:29.310,2021-12-16 16:26:29.310,2021-12-16 16:26:51.906,RS5-D
75797,44073,GO_SOMEWHERE,COMPLETED,5211165,,,2021-12-16 16:26:51.591,2021-12-16 16:26:51.591,2021-12-16 16:26:53.540,RS5-D
75796,44073,GO_SOMEWHERE,EXECUTING,5211165,,,2021-12-16 16:26:51.591,2021-12-16 16:26:51.591,2021-12-16 16:26:53.858,RS5-D
75798,44078,GO_SOMEWHERE,COMPLETED,1510101,,,2021-12-21 10:36:05.630,2021-12-21 10:36:05.631,2021-12-21 10:36:11.924,P40
75800,44080,GO_SOMEWHERE,COMPLETED,1510108,,,2021-12-21 10:36:05.693,2021-12-21 10:36:05.693,2021-12-21 10:36:11.934,P40
75801,44081,GO_SOMEWHERE,COMPLETED,1510107,,,2021-12-21 10:36:05.702,2021-12-21 10:36:05.702,2021-12-21 10:36:11.941,P40
75802,44082,GO_SOMEWHERE,COMPLETED,1510105,,,2021-12-21 10:36:05.711,2021-12-21 10:36:05.711,2021-12-21 10:36:11.943,P40
75803,44083,GO_SOMEWHERE,COMPLETED,1510104,,,2021-12-21 10:36:05.719,2021-12-21 10:36:05.719,2021-12-21 10:36:11.971,P40
75804,44074,GO_SOMEWHERE,COMPLETED,5211167,,,2021-12-21 10:36:05.728,2021-12-21 10:36:05.728,2021-12-21 10:36:11.975,RS5-D
75805,44075,GO_SOMEWHERE,COMPLETED,5211164,,,2021-12-21 10:36:05.740,2021-12-21 10:36:05.740,2021-12-21 10:36:11.989,RS5-D
75806,44084,GO_SOMEWHERE,COMPLETED,1510135,,,2021-12-21 10:36:05.750,2021-12-21 10:36:05.750,2021-12-21 10:36:11.995,P40
75807,44085,GO_SOMEWHERE,COMPLETED,1510134,,,2021-12-21 10:36:05.759,2021-12-21 10:36:05.759,2021-12-21 10:36:12.002,P40
75810,44088,GO_SOMEWHERE,COMPLETED,1510139,,,2021-12-21 10:36:05.784,2021-12-21 10:36:05.784,2021-12-21 10:36:12.017,P40
75811,44089,GO_SOMEWHERE,COMPLETED,1510138,,,2021-12-21 10:36:05.791,2021-12-21 10:36:05.791,2021-12-21 10:36:12.025,P40
75813,44077,GO_SOMEWHERE,COMPLETED,5211168,,,2021-12-21 10:36:05.808,2021-12-21 10:36:05.808,2021-12-21 10:36:12.054,RS5-D
75814,44090,GO_SOMEWHERE,COMPLETED,1510136,,,2021-12-21 10:36:05.819,2021-12-21 10:36:05.819,2021-12-21 10:36:12.078,P40
75815,44091,GO_SOMEWHERE,COMPLETED,1510117,,,2021-12-21 10:36:05.827,2021-12-21 10:36:05.827,2021-12-21 10:36:12.078,P40
75816,44092,GO_SOMEWHERE,COMPLETED,1510116,,,2021-12-21 10:36:05.836,2021-12-21 10:36:05.836,2021-12-21 10:36:12.125,P40
75817,44093,GO_SOMEWHERE,COMPLETED,1510115,,,2021-12-21 10:36:05.845,2021-12-21 10:36:05.845,2021-12-21 10:36:12.169,P40
75818,44094,GO_SOMEWHERE,COMPLETED,1510112,,,2021-12-21 10:36:05.855,2021-12-21 10:36:05.855,2021-12-21 10:36:12.179,P40
75819,44095,GO_SOMEWHERE,COMPLETED,1510120,,,2021-12-21 10:36:05.865,2021-12-21 10:36:05.865,2021-12-21 10:36:12.191,P40
75821,44097,GO_SOMEWHERE,COMPLETED,1510119,,,2021-12-21 10:36:11.755,2021-12-21 10:36:11.755,2021-12-21 10:36:15.275,P40
75799,44079,GO_SOMEWHERE,COMPLETED,1510111,,,2021-12-21 10:36:05.682,2021-12-21 10:36:05.682,2021-12-21 10:36:16.496,P40
75820,44096,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-21 10:36:11.697,2021-12-21 10:36:11.697,2021-12-21 10:36:19.943,P40
75809,44087,GO_SOMEWHERE,COMPLETED,1510131,,,2021-12-21 10:36:05.776,2021-12-21 10:36:05.776,2021-12-21 10:36:24.716,P40
75824,44100,GO_SOMEWHERE,COMPLETED,1510111,,,2021-12-21 10:36:18.891,2021-12-21 10:36:18.891,2021-12-21 10:36:24.817,P40
75808,44086,GO_SOMEWHERE,COMPLETED,1510132,,,2021-12-21 10:36:05.767,2021-12-21 10:36:05.767,2021-12-21 10:36:24.819,P40
75825,44101,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-21 10:36:24.707,2021-12-21 10:36:24.707,2021-12-21 10:36:27.055,P40
75823,44098,GO_SOMEWHERE,COMPLETED,1510134,,,2021-12-21 10:36:13.543,2021-12-21 10:36:13.543,2021-12-21 10:36:31.997,P40
75826,44102,GO_SOMEWHERE,COMPLETED,5211167,,,2021-12-21 10:36:31.878,2021-12-21 10:36:31.878,2021-12-21 10:36:33.992,RS5-D
75827,44103,GO_SOMEWHERE,COMPLETED,1510133,,,2021-12-21 10:36:31.887,2021-12-21 10:36:31.887,2021-12-21 10:36:35.108,P40
75829,44105,GO_SOMEWHERE,COMPLETED,5211168,,,2021-12-21 10:36:36.634,2021-12-21 10:36:36.634,2021-12-21 10:36:39.281,RS5-D
75830,44106,GO_SOMEWHERE,CANCELED,5211168,,,2021-12-21 10:36:39.888,2021-12-21 10:36:39.888,2021-12-21 10:36:43.241,RS5-D
75812,44076,GO_SOMEWHERE,CANCELED,5211169,,,2021-12-21 10:36:05.799,2021-12-21 10:36:05.799,2021-12-21 10:36:43.771,RS5-D
75828,44104,GO_SOMEWHERE,CANCELED,5211163,,,2021-12-21 10:36:35.098,2021-12-21 10:36:35.098,2021-12-21 10:36:43.771,RS5-D
75822,44099,GO_SOMEWHERE,COMPLETED,1510104,,,2021-12-21 10:36:13.506,2021-12-21 10:36:13.506,2021-12-21 10:36:43.977,P40
75835,44076,GO_SOMEWHERE,CANCELED,5211169,,,2021-12-21 10:36:43.559,2021-12-21 10:36:43.559,2021-12-21 10:36:44.869,RS5-D
75831,44106,GO_SOMEWHERE,CANCELED,5211168,,,2021-12-21 10:36:43.032,2021-12-21 10:36:43.032,2021-12-21 10:36:44.869,RS5-D
75832,44106,GO_SOMEWHERE,COMPLETED,5211168,,,2021-12-21 10:36:43.025,2021-12-21 10:36:43.025,2021-12-21 10:36:45.174,RS5-D
75836,44076,GO_SOMEWHERE,COMPLETED,5211169,,,2021-12-21 10:36:43.559,2021-12-21 10:36:43.559,2021-12-21 10:36:46.204,RS5-D
75834,44104,GO_SOMEWHERE,COMPLETED,5211163,,,2021-12-21 10:36:43.552,2021-12-21 10:36:43.552,2021-12-21 10:36:46.430,RS5-D
75837,44107,GO_FETCHING_BOX,COMPLETED,5211166,B003954,00501611,2021-12-21 10:36:44.849,2021-12-21 10:36:44.849,2021-12-21 10:36:53.017,RS5-D
75838,44108,GO_FETCHING_BOX,COMPLETED,5211168,B003955,00103609,2021-12-21 10:36:45.277,2021-12-21 10:36:45.277,2021-12-21 10:36:53.853,RS5-D
75833,44104,GO_SOMEWHERE,CANCELED,5211163,,,2021-12-21 10:36:43.553,2021-12-21 10:36:43.553,2021-12-21 10:36:55.203,RS5-D
75839,44109,GO_FETCHING_BOX,CANCELED,5211169,B003951,00303719,2021-12-21 10:36:46.315,2021-12-21 10:36:46.315,2021-12-21 10:36:55.407,RS5-D
75841,44108,GO_RETURN_BOX,CANCELED,5211168,B003955,1010125501,2021-12-21 10:36:54.468,2021-12-21 10:36:54.468,2021-12-21 10:36:56.230,RS5-D
75845,44109,GO_SOMEWHERE,COMPLETED,5211169,B003951,00303719,2021-12-21 10:36:54.996,2021-12-21 10:36:54.996,2021-12-21 10:36:57.273,RS5-D
75844,44109,GO_FETCHING_BOX,CANCELED,5211169,B003951,00303719,2021-12-21 10:36:54.997,2021-12-21 10:36:54.997,2021-12-21 10:36:58.111,RS5-D
75840,44107,GO_RETURN_BOX,COMPLETED,5211166,B003954,1050107501,2021-12-21 10:36:53.630,2021-12-21 10:36:53.630,2021-12-21 10:36:59.636,RS5-D
75849,44109,GO_SOMEWHERE,COMPLETED,5211169,B003951,00303719,2021-12-21 10:36:57.694,2021-12-21 10:36:57.694,2021-12-21 10:36:59.857,RS5-D
75850,44110,GO_FETCHING_BOX,COMPLETED,5211166,B004802,00401005,2021-12-21 10:36:59.847,2021-12-21 10:36:59.847,2021-12-21 10:37:08.205,RS5-D
75851,44110,GO_RETURN_BOX,COMPLETED,5211166,B004802,1060107501,2021-12-21 10:37:08.827,2021-12-21 10:37:08.827,2021-12-21 10:37:14.068,RS5-D
75848,44109,GO_FETCHING_BOX,COMPLETED,5211169,B003951,00303719,2021-12-21 10:36:57.695,2021-12-21 10:36:57.695,2021-12-21 10:37:21.230,RS5-D
